indicator,value,unit,date,source
Gemini 1.5 preview context,1000000,tokens,2024-02-15,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/
Sora maximum preview video,1,minute,2024-02-15,https://openai.com/index/video-generation-models-as-world-simulators/
DeepSeek-V2 total parameters,236,billion parameters,2024-05-07,https://arxiv.org/abs/2405.04434
DeepSeek-V2 active parameters,21,billion parameters,2024-05-07,https://arxiv.org/abs/2405.04434
Qwen2 model smallest size,0.5,billion parameters,2024-06-11,https://www.alibabacloud.com/blog/601268
Qwen2 model largest size,72,billion parameters,2024-06-11,https://www.alibabacloud.com/blog/601268
Llama 3.1 largest model,405,billion parameters,2024-07-23,https://ai.meta.com/blog/meta-llama-3-1/
Llama 3.1 context,128000,tokens,2024-07-23,https://ai.meta.com/blog/meta-llama-3-1/
Llama 3.2 vision small model,11,billion parameters,2024-09-25,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
EU AI Act,effective,entered into force 2024-08-01,2024-08-01,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai
OpenAI o1-preview,83,percent IMO qualifying benchmark,2024-09-12,https://openai.com/index/introducing-openai-o1-preview/
