fact_id,year,date,category,claim,value,unit,source_grade,source_url,verification_status,data_indicators,target_files
F2022-001,2022,2022-04-04,model,PaLM announced at 540B parameters,540,billion parameters,B,https://research.google/blog/pathways-language-model-palm-scaling-to-540-billion-parameters-for-breakthrough-performance/,spot-checked,PaLM parameters,timeline/2022.md;technology/2022.md;data/2022_snapshot.csv
F2022-002,2022,2022-04-12,training,Chinchilla used 1.3T training tokens,1.3,trillion tokens,B,https://deepmind.google/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/,spot-checked,Chinchilla training tokens,technology/2022.md;data/2022_snapshot.csv
F2022-003,2022,2022-05-18,generation,DALL-E 2 preview had more than 3M images,3,million images,A,https://openai.com/index/dall-e-2-update/,spot-checked,DALL-E 2 preview images,timeline/2022.md;data/2022_snapshot.csv
F2022-004,2022,2022-08-22,generation,Stable Diffusion public release,1,event,A,https://stability.ai/news-updates/stable-diffusion-public-release,spot-checked,Stable Diffusion public release,timeline/2022.md;data/2022_snapshot.csv
F2022-005,2022,2022-11-30,product,ChatGPT public research preview,1,event,A,https://openai.com/index/chatgpt/,spot-checked,ChatGPT public research preview,timeline/2022.md;biographies/first-tier/chatgpt.md;data/2022_snapshot.csv
F2023-001,2023,2023-02-24,model,LLaMA largest research model,65,billion parameters,A,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,spot-checked,LLaMA largest research model,timeline/2023.md;technology/2023.md;data/2023_snapshot.csv
F2023-002,2023,2023-07-18,model,Llama 2 model range,7-70,billion parameters,A,https://ai.meta.com/research/publications/llama-2-open-foundation-and-fine-tuned-chat-models/,spot-checked,Llama 2 model range low;Llama 2 model range high,technology/2023.md;data/2023_snapshot.csv
F2023-003,2023,2023-04-05,dataset,SAM dataset contains more than 1B masks,1,billion masks,B,https://ai.meta.com/research/publications/segment-anything/,spot-checked,SAM dataset masks,technology/2023.md;data/2023_snapshot.csv
F2023-004,2023,2023-11-06,context,GPT-4 Turbo context window,128,thousand tokens,A,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,spot-checked,GPT-4 Turbo context,timeline/2023.md;technology/2023.md;data/2023_snapshot.csv
F2023-005,2023,2023-08-15,regulation,China interim generative AI measures effective,1,regulation effective,B,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,spot-checked,China generative AI interim measures,timeline/2023.md;data/2023_snapshot.csv
F2024-001,2024,2024-02-15,context,Gemini 1.5 preview context,1000000,tokens,A,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024/,spot-checked,Gemini 1.5 preview context,timeline/2024.md;technology/2024.md;data/2024_snapshot.csv
F2024-002,2024,2024-02-15,generation,Sora preview maximum video length,1,minute,A,https://openai.com/index/video-generation-models-as-world-simulators/,spot-checked,Sora maximum preview video,timeline/2024.md;data/2024_snapshot.csv
F2024-003,2024,2024-05-07,model,DeepSeek-V2 total and active parameters,236/21,billion parameters,B,https://arxiv.org/abs/2405.04434,spot-checked,DeepSeek-V2 total parameters;DeepSeek-V2 active parameters,technology/2024.md;data/2024_snapshot.csv
F2024-004,2024,2024-07-23,model,Llama 3.1 largest model,405,billion parameters,A,https://ai.meta.com/blog/meta-llama-3-1/,spot-checked,Llama 3.1 largest model,timeline/2024.md;technology/2024.md;data/2024_snapshot.csv
F2024-005,2024,2024-08-01,regulation,EU AI Act entered into force,effective,entered into force 2024-08-01,B,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,spot-checked,EU AI Act,timeline/2024.md;data/2024_snapshot.csv
F2024-006,2024,2024-09-12,reasoning,o1-preview reported 83% on IMO qualifying benchmark,83,percent,B,https://openai.com/index/introducing-openai-o1-preview/,spot-checked,OpenAI o1-preview,timeline/2024.md;technology/2024.md;data/2024_snapshot.csv
F2025-001,2025,2025-01-20,reasoning,DeepSeek-R1 release,1,event,A,https://api-docs.deepseek.com/news/news250120/,spot-checked,DeepSeek-R1 release,timeline/2025.md;biographies/first-tier/deepseek.md;data/2025_snapshot.csv
F2025-002,2025,2025-01-23,agent,OpenAI Operator release,1,event,A,https://openai.com/index/introducing-operator/,spot-checked,OpenAI Operator release,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-003,2025,2025-02-24,reasoning,Claude 3.7 Sonnet release,1,event,A,https://www.anthropic.com/news/claude-3-7-sonnet,spot-checked,Claude 3.7 Sonnet release,timeline/2025.md;biographies/first-tier/claude.md;data/2025_snapshot.csv
F2025-004,2025,2025-04-29,model,Qwen3 parameter range,0.6-235,billion parameters,A,https://home.alibabagroup.com/en-US/document-1853940226976645120,spot-checked,Qwen3 smallest model;Qwen3 largest model,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-005,2025,2025-04-29,language,Qwen3 supported languages and dialects,119,languages and dialects,A,https://home.alibabagroup.com/en-US/document-1853940226976645120,spot-checked,Qwen3 supported languages and dialects,technology/2025.md;data/2025_snapshot.csv
F2025-006,2025,2025-04-16,reasoning,OpenAI o3 and o4-mini release,1,event,A,https://openai.com/index/introducing-o3-and-o4-mini/,spot-checked,OpenAI o3 and o4-mini release,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-007,2025,2025-05-22,reasoning,Claude Opus 4 and Sonnet 4 release,1,event,A,https://www.anthropic.com/news/claude-4,spot-checked,Claude Opus 4 and Sonnet 4 release,timeline/2025.md;data/2025_snapshot.csv
F2025-008,2025,2025-05-20,generation,Veo 3 and Flow release,1,event,A,https://blog.google/innovation-and-ai/products/generative-media-models-io-2025/,spot-checked,Veo 3 and Flow release,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-009,2025,2025-07-09,agent,Grok 4 release,1,event,A,https://x.ai/news/grok-4,spot-checked,Grok 4 release,timeline/2025.md;data/2025_snapshot.csv
F2025-010,2025,2025-07-17,agent,ChatGPT agent release,1,event,A,https://openai.com/index/introducing-chatgpt-agent/,spot-checked,ChatGPT agent release,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-011,2025,2025-08-05,model,gpt-oss-120b total and active parameters,116.8/5.1,billion parameters,A,https://openai.com/index/gpt-oss-model-card/,spot-checked,gpt-oss-120b total parameters;gpt-oss-120b active parameters,technology/2025.md;data/2025_snapshot.csv
F2025-012,2025,2025-08-07,model,GPT-5 release,1,event,A,https://openai.com/index/introducing-gpt-5/,spot-checked,GPT-5 release,timeline/2025.md;biographies/first-tier/chatgpt.md;data/2025_snapshot.csv
F2025-013,2025,2025-08-02,regulation,EU GPAI obligations applicable,applicable,regulatory milestone,B,https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act,spot-checked,EU GPAI obligations,timeline/2025.md;technology/2025.md;data/2025_snapshot.csv
F2025-014,2025,2025-04-07,economy,Industry share of notable models in 2024,90,percent,B,https://hai.stanford.edu/ai-index/2025-ai-index-report/research-and-development,spot-checked,Industry share of notable models in 2024,timeline/2025.md;data/2025_snapshot.csv
F2025-015,2025,2025-04-07,economy,Organizations reporting AI use in 2024,78,percent,B,https://hai.stanford.edu/ai-index/2025-ai-index-report,spot-checked,Organizations reporting AI use in 2024,timeline/2025.md;data/2025_snapshot.csv
F2026-001,2026,2026-01-13,agent,Anthropic Labs launch,1,event,A,https://www.anthropic.com/news/introducing-anthropic-labs,spot-checked,Anthropic Labs launch,timeline/2026.md;technology/2026.md;biographies/first-tier/claude.md;data/2026_snapshot.csv
F2026-002,2026,2026-02-05,agent,OpenAI Frontier launch,1,event,A,https://openai.com/index/introducing-openai-frontier/,spot-checked,OpenAI Frontier launch,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
F2026-003,2026,2026-02-15,model,Qwen3.5 open-weight release,1,event,A,https://qwen.ai/blog?email_hash=23463b99b62a72f26ed677cc556c44e8&id=qwen3.5,spot-checked,Qwen3.5 open-weight release,timeline/2026.md;technology/2026.md;biographies/second-tier/china/qwen.md;data/2026_snapshot.csv
F2026-004,2026,2026-03-05,model,GPT-5.4 release,1,event,A,https://openai.com/index/introducing-gpt-5-4/,spot-checked,GPT-5.4 release,timeline/2026.md;technology/2026.md;biographies/first-tier/chatgpt.md;data/2026_snapshot.csv
F2026-005,2026,2026-04-16,science,GPT-Rosalind release,1,event,A,https://openai.com/index/introducing-gpt-rosalind/,spot-checked,GPT-Rosalind release,timeline/2026.md;technology/2026.md;data/2026_snapshot.csv
